-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           onednn_mm_out(1024, 512, 32)         0.10%       1.098ms         0.11%       1.306ms     108.860us     152.960us         0.51%     152.960us      12.747us           0 b           0 b           0 b           0 b            12  
                           onednn_mm_out(32, 512, 1024)         0.12%       1.377ms         0.14%       1.626ms     135.483us     145.760us         0.49%     145.760us      12.147us           0 b           0 b           0 b           0 b            12  
                            onednn_addmm(32, 1024, 512)         0.10%       1.190ms         0.13%       1.447ms     120.553us     140.480us         0.47%     140.480us      11.707us           0 b           0 b           0 b           0 b            12  
                               aten::threshold_backward         0.06%     739.774us         0.11%       1.221ms      50.885us     138.880us         0.47%     138.880us       5.787us           0 b           0 b      63.00 Mb      63.00 Mb            24  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     138.880us         0.47%     138.880us       5.787us           0 b           0 b           0 b           0 b            24  
                           onednn_mm_out(1536, 512, 32)         0.08%     930.110us         0.10%       1.150ms      95.871us     138.400us         0.46%     138.400us      11.533us           0 b           0 b           0 b           0 b            12  
                            onednn_mm_out(32, 512, 512)         0.10%       1.185ms         0.12%       1.417ms     118.089us     135.840us         0.46%     135.840us      11.320us           0 b           0 b           0 b           0 b            12  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     129.280us         0.43%     129.280us       5.387us           0 b           0 b           0 b           0 b            24  
                           onednn_mm_out(32, 512, 1536)         0.10%       1.145ms         0.12%       1.347ms     134.747us     127.680us         0.43%     127.680us      12.768us           0 b           0 b           0 b           0 b            10  
                             onednn_addmm(32, 512, 512)         0.11%       1.243ms         0.13%       1.504ms     125.298us     124.640us         0.42%     124.640us      10.387us           0 b           0 b           0 b           0 b            12  
                                        aten::clamp_min         0.08%     878.875us         0.12%       1.360ms      56.655us     117.600us         0.39%     117.600us       4.900us           0 b           0 b      63.50 Mb      63.50 Mb            24  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     117.600us         0.39%     117.600us       4.900us           0 b           0 b           0 b           0 b            24  
at::native::xpu::impl::DispatchSoftmaxForwardKernelF...         0.00%       0.000us         0.00%       0.000us       0.000us     116.480us         0.39%     116.480us       4.853us           0 b           0 b           0 b           0 b            24  
                            onednn_mm_out(512, 512, 32)         0.09%       1.062ms         0.11%       1.269ms     105.776us     114.720us         0.38%     114.720us       9.560us           0 b           0 b           0 b           0 b            12  
at::native::xpu::FusedNormKernelFunctor<float, float...         0.00%       0.000us         0.00%       0.000us       0.000us     114.400us         0.38%     114.400us       4.400us           0 b           0 b           0 b           0 b            26  
at::native::xpu::CatArrayBatchedCopyKernelFunctor<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     102.560us         0.34%     102.560us       8.547us           0 b           0 b           0 b           0 b            12  
