-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
at::native::xpu::impl::SpatialSoftmaxForwardKernelFu...         0.00%       0.000us         0.00%       0.000us       0.000us      35.520us         0.12%      35.520us      17.760us           0 b           0 b           0 b           0 b             2  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      34.880us         0.12%      34.880us      17.440us           0 b           0 b           0 b           0 b             2  
                       aten::_log_softmax_backward_data         0.04%     192.162us         0.05%     237.482us     118.741us      20.640us         0.07%      20.640us      10.320us           0 b           0 b       2.50 Mb       2.50 Mb             2  
at::native::xpu::impl::SpatialSoftmaxBackwardKernelF...         0.00%       0.000us         0.00%       0.000us       0.000us      20.640us         0.07%      20.640us      10.320us           0 b           0 b           0 b           0 b             2  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      16.640us         0.06%      16.640us       8.320us           0 b           0 b           0 b           0 b             2  
                                              aten::div         0.09%     447.941us         0.14%     642.832us     160.708us      13.760us         0.05%      13.760us       3.440us           0 b           0 b       2.00 Kb       2.00 Kb             4  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      13.760us         0.05%      13.760us       3.440us           0 b           0 b           0 b           0 b             4  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us      13.440us         0.05%      13.440us       6.720us           0 b           0 b           0 b           0 b             2  
                                              aten::neg         0.03%     141.522us         0.05%     224.773us      56.193us      11.520us         0.04%      11.520us       2.880us           0 b           0 b       2.00 Kb       2.00 Kb             4  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      11.520us         0.04%      11.520us       2.880us           0 b           0 b           0 b           0 b             4  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us       9.600us         0.03%       9.600us       4.800us           0 b           0 b           0 b           0 b             2  
                                          ProfilerStep*        40.11%     190.682ms        64.28%     305.580ms     152.790ms       0.000us         0.00%      10.771ms       5.386ms           0 b      -2.63 Mb     256.00 Kb     -36.79 Mb             2  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.10%     474.411us         0.51%       2.423ms       1.211ms       0.000us         0.00%       0.000us       0.000us       2.62 Mb           0 b           0 b           0 b             2  
                                           aten::select         0.20%     973.106us         0.23%       1.111ms       3.471us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           320  
                                       aten::as_strided         0.31%       1.474ms         0.31%       1.474ms       0.582us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2532  
                                            aten::stack         0.01%      47.457us         0.34%       1.614ms     403.581us       0.000us         0.00%       0.000us       0.000us       2.62 Mb           0 b           0 b           0 b             4  
                                    torch_ipex::cat_cpu         0.00%       3.871us         0.33%       1.554ms     388.399us       0.000us         0.00%       0.000us       0.000us       2.62 Mb           0 b           0 b           0 b             4  
                                torch_ipex::cat_out_cpu         0.32%       1.531ms         0.33%       1.550ms     387.431us       0.000us         0.00%       0.000us       0.000us       2.62 Mb           0 b           0 b           0 b             4  
                                            aten::empty         0.46%       2.168ms         0.46%       2.168ms       1.058us       0.000us         0.00%       0.000us       0.000us       2.62 Mb       2.62 Mb     604.21 Mb     604.21 Mb          2048  
                                             aten::view         0.45%       2.154ms         0.45%       2.154ms       1.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1436  
                                               aten::to         0.05%     252.451us         0.51%       2.446ms       6.541us       0.000us         0.00%     242.320us       0.648us       1.44 Kb           0 b       2.62 Mb           0 b           374  
                                         aten::_to_copy         0.15%     709.728us         0.46%       2.194ms       5.898us       0.000us         0.00%     242.320us       0.651us       1.44 Kb          24 b       2.62 Mb           0 b           372  
                                    aten::empty_strided         0.14%     686.641us         0.14%     686.641us       1.118us       0.000us         0.00%       0.000us       0.000us       1.41 Kb       1.41 Kb     145.67 Mb     145.67 Mb           614  
                                     urEnqueueUSMMemcpy         0.28%       1.353ms         0.28%       1.353ms      48.325us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            28  
                     Optimizer.zero_grad#Adam.zero_grad         0.12%     586.882us         0.12%     586.882us     293.441us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -362.90 Mb    -362.90 Mb             2  
